session,combo,n_ind,stop,trades,win_rate,pnl,avg_win,avg_loss,max_dd,consec_L,sharpe,exp,score
13:00-17:00,STOCH+MACD+RSI+VOL,4,40,241,21.2,-18564.0,396.0,-204.0,-19128.0,14,-0.61,-77.0,-9999.0
13:00-17:00,STOCH+MACD+RSI+VOL,4,30,245,20.0,-15680.0,296.0,-154.0,-16260.0,19,-0.7,-64.0,-9999.0
13:00-17:00,BB+MACD+VWAP+VOL,4,20,210,8.1,-16740.0,196.0,-104.0,-16740.0,58,-1.39,-79.7,-9999.0
14:00-18:00,STOCH+VOL,2,40,200,17.5,-19800.0,396.0,-204.0,-19800.0,16,-0.77,-99.0,-9999.0
14:00-18:00,STOCH+VOL,2,30,203,15.3,-17312.0,296.0,-154.0,-17312.0,22,-0.96,-85.3,-9999.0
14:00-18:00,STOCH+VOL,2,20,206,8.7,-16024.0,196.0,-104.0,-16024.0,33,-1.58,-77.8,-9999.0
14:00-18:00,STOCH+RSI,2,40,228,15.4,-25512.0,396.0,-204.0,-25908.0,21,-0.97,-111.9,-9999.0
14:00-18:00,STOCH+RSI,2,30,229,13.1,-21766.0,296.0,-154.0,-21908.0,21,-1.28,-95.0,-9999.0
14:00-18:00,STOCH+RSI,2,20,230,6.5,-19420.0,196.0,-104.0,-19512.0,29,-2.14,-84.4,-9999.0
14:00-18:00,STOCH+VWAP,2,40,145,18.6,-13380.0,396.0,-204.0,-13740.0,22,-0.62,-92.3,-9999.0
14:00-18:00,STOCH+VWAP,2,30,145,16.6,-11530.0,296.0,-154.0,-11826.0,17,-0.79,-79.5,-9999.0
13:00-17:00,MACD+VWAP+RSI+VOL,4,20,241,10.4,-17564.0,196.0,-104.0,-17564.0,32,-1.44,-72.9,-9999.0
14:00-18:00,STOCH+MACD,2,40,165,15.2,-18660.0,396.0,-204.0,-19056.0,21,-0.82,-113.1,-9999.0
14:00-18:00,STOCH+MACD,2,30,167,13.8,-15368.0,296.0,-154.0,-15960.0,26,-0.88,-92.0,-9999.0
14:00-18:00,STOCH+MACD,2,20,167,6.6,-14068.0,196.0,-104.0,-14068.0,37,-1.55,-84.2,-9999.0
14:00-18:00,STOCH+BB,2,40,157,17.8,-15228.0,396.0,-204.0,-15228.0,21,-0.63,-97.0,-9999.0
14:00-18:00,STOCH+BB,2,30,159,13.2,-15036.0,296.0,-154.0,-15332.0,21,-1.05,-94.6,-9999.0
14:00-18:00,STOCH+BB,2,20,159,6.9,-13236.0,196.0,-104.0,-13236.0,28,-1.58,-83.2,-9999.0
13:00-17:00,MACD+VWAP+RSI+VOL,4,40,236,19.9,-19944.0,396.0,-204.0,-20904.0,13,-0.68,-84.5,-9999.0
